"school_id","panel_year","school_city","school_state","school_district","nces_id","locale","self_reported_grades_pre_k","self_reported_grades_kindergarten","self_reported_grades_1st","self_reported_grades_2nd","self_reported_grades_3rd","self_reported_grades_4th","self_reported_grades_5th","self_reported_grades_6th","self_reported_grades_7th","self_reported_grades_8th","self_reported_grades_9th","self_reported_grades_10th","self_reported_grades_11th","self_reported_grades_12th","self_reported_race_aian","self_reported_race_asian","self_reported_race_hispanic","self_reported_race_black","self_reported_race_white","self_reported_race_multiple","self_reported_race_nhpi","self_reported_frpl","self_reported_total_enrollment","self_reported_swd","self_reported_ell","grades_elementary","grades_middle","grades_high","school_descriptor_sws","school_descriptor","school_descriptor_alt2019","title_i_schoolwide","term_2021","leader_tenure","leaps_high_expectations","leaps_whole_child","leaps_rigorous_learning","leaps_relevance","leaps_affirmation","leaps_social_consciousness","leaps_connection","leaps_customization","leaps_self_direction","leaps_anytime_anywhere","self_reported_ela","self_reported_math","leaps_rank_high_expectations","leaps_rank_whole_child","leaps_rank_rigorous_learning","leaps_rank_relevance","leaps_rank_affirmation","leaps_rank_social_consciousness","leaps_rank_connection","leaps_rank_customization","leaps_rank_self_direction","leaps_rank_anytime_anywhere","leadership_diversity","teaching_diversity","leader1_race","leader1_gender","leaps_interest"
56,2019,"Redwood City","California","Design Tech","063498013774","Suburban",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.00241545893719807,0.241545893719807,0.166666666666667,0.00483091787439614,0.446859903381642,0.132850241545894,0.00483091787439614,0.0942028985507246,NA,NA,NA,0,0,1,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,2019,"San Diego","California","Poway Unified School District","063153013729","Urban",0,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00174825174825175,0.343531468531469,0.0865384615384615,0.0148601398601399,0.47465034965035,0.0769230769230769,0.00174825174825175,0.0987762237762238,1076,6.9,18.5,1,1,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,2019,"Washington","District of Columbia","Digital Pioneers Academy","110010900521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,2019,"Riverdale","Georgia","none provided","130023704193","Suburban",0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.00298953662182362,0.00597907324364723,0.98355754857997,0.00448430493273543,0.00149476831091181,0.00149476831091181,0.85949177877429,579,3.5,0,1,0,0,0,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,2019,"Clarksville","Tennessee","Montgomery County (Clarksville Montgomery County School System)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,2019,"Los Angeles","California","Ednovate","062271013898","Urban",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.00458715596330275,0.0321100917431193,0.903669724770642,0.0321100917431193,0.00917431192660551,0.018348623853211,0,0.935779816513762,NA,NA,NA,0,0,1,0,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,2019,"Pasadena","Texas","Pasadena ISD","483432004691","Suburban",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0535894843276036,0.73407482305359,0.0455005055611729,0.157735085945399,0.00910010111223458,0,0.606673407482305,957,10.9,13.9,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,2019,"Aurora","Colorado","Aurora Public Schools",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,2019,"Liberty","Missouri","Liberty Public Schools","291854003253","Suburban",0,1,1,1,1,1,1,0,0,0,0,0,0,0,NA,0.03,0.04,0.01,0.886666666666667,0.0333333333333333,NA,0.06,296,4.7,0.7,1,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,2019,"Asheville","North Carolina","none provided","370007802430","Urban",0,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00225225225225225,0.00225225225225225,0.0472972972972973,0.0112612612612613,0.885135135135135,0.0518018018018018,0,0.279279279279279,449,12.5,0.4,1,1,0,0,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,2019,"New York","New York","none provided","360009001327","Urban",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.0146137787056367,0.00417536534446764,0.69937369519833,0.277661795407098,0.00417536534446764,0,0,0.709812108559499,NA,NA,NA,0,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,2019,"Farmington","Utah","Davis School District","490021001537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,2019,"Farmington","Connecticut","Farmington Public Schools","090156000273","Suburban",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.00168918918918919,0.173986486486486,0.0608108108108108,0.0616554054054054,0.691722972972973,0.0101351351351351,NA,0.108108108108108,1340,11.6,0.5,0,0,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
